ID client,Nom,Edat,Gènere,Perfil de viatge,Preferències comercials,Interacció habitual,Historial d’usos
0544,Rosa María Cerezo,58,F,Negocis,"Cuina ràpida, Mediterrània",Només consulta horaris i ubicacions,5 consultes a botigues
0545,Eli Milla,43,F,Turisme,"Moda, Cuina ràpida",Només consulta horaris i ubicacions,"4 consultes a cafeteries, 2 consultes a vehicles, 1 consulta a restaurants"
0546,María Carmen Moles,61,F,Turisme,Mediterrània,Accepta ofertes de menjar,"5 consultes a llibres, 4 consultes a botigues, 3 consultes a vehicles"
0547,María Ángeles Franco,43,F,Família,Perfumeria,Accepta ofertes de menjar,"2 consultes a cafeteries, 3 consultes a botigues"
0548,Ofelia Padilla,20,F,Negocis,"Perfumeria, Mediterrània",Accepta ofertes de menjar,"5 consultes a cafeteries, 3 consultes a llibres, 1 consulta a vehicles"
0549,Charo Solana,37,F,Altres,Mediterrània,Només consulta horaris i ubicacions,"1 consulta a llibres, 1 consulta a botigues"
0550,Ruy Sanjuan,35,M,Negocis,"Mediterrània, Moda",Respon a ofertes de llibres,2 consultes a llibres
0551,Jordán Berenguer,67,M,Família,Perfumeria,Segueix suggeriments personalitzats,5 consultes a botigues
0552,Anacleto Catalá,54,M,Turisme,"Moda, Perfumeria, Productes naturals",Només consulta horaris i ubicacions,"2 consultes a restaurants, 3 consultes a botigues"
0553,Valero Sastre,48,M,Família,"Cuina ràpida, Cuina italiana, Mediterrània",Accepta ofertes de menjar,"3 consultes a botigues, 5 consultes a restaurants"
0554,Renata Agullo,36,F,Família,"Perfumeria, Mediterrània",Només consulta horaris i ubicacions,1 consulta a vehicles
0555,Fabián Medina,28,M,Negocis,"Cuina italiana, Moda, Mediterrània",Segueix suggeriments personalitzats,4 consultes a vehicles
0556,Bruno Ocaña,64,M,Negocis,"Cuina ràpida, Cuina italiana, Premsa i llibres",Ignora promocions,"5 consultes a llibres, 5 consultes a botigues, 4 consultes a vehicles"
0557,Casemiro Mendez,39,M,Família,"Cuina ràpida, Productes naturals, Premsa i llibres",Només consulta horaris i ubicacions,"1 consulta a llibres, 4 consultes a botigues, 5 consultes a vehicles"
0558,Máxima Bosch,67,F,Altres,"Moda, Perfumeria",Ignora promocions,"5 consultes a vehicles, 2 consultes a botigues"
0559,Mateo Zaragoza,22,M,Turisme,Perfumeria,Segueix suggeriments personalitzats,"1 consulta a botigues, 1 consulta a cafeteries, 2 consultes a restaurants"
0560,Pastor Galindo,70,M,Família,Cuina ràpida,Respon a ofertes de llibres,"4 consultes a llibres, 4 consultes a vehicles, 1 consulta a botigues"
0561,Bárbara Ramírez,24,F,Negocis,"Premsa i llibres, Cafeteria",Només consulta horaris i ubicacions,"2 consultes a llibres, 2 consultes a cafeteries"
0562,Juana Ródenas,56,F,Altres,"Premsa i llibres, Productes naturals, Cuina italiana",Respon a ofertes de llibres,"5 consultes a botigues, 3 consultes a vehicles"
0563,Teresa Palacio,66,F,Altres,Cuina ràpida,Només consulta horaris i ubicacions,"4 consultes a llibres, 5 consultes a restaurants, 2 consultes a vehicles"
0564,Eusebio Fuertes,42,M,Turisme,"Mediterrània, Cuina ràpida, Productes naturals",Només consulta horaris i ubicacions,"5 consultes a cafeteries, 3 consultes a botigues"
0565,Sabas Verdú,45,M,Negocis,"Perfumeria, Moda, Cuina ràpida",Respon a ofertes de llibres,"2 consultes a botigues, 5 consultes a vehicles"
0566,Hector Pablo,28,M,Família,Premsa i llibres,Només consulta horaris i ubicacions,"5 consultes a botigues, 5 consultes a vehicles, 1 consulta a cafeteries"
0567,Sabas Marin,28,M,Negocis,"Premsa i llibres, Cuina ràpida",Respon a ofertes de llibres,"2 consultes a vehicles, 4 consultes a cafeteries, 4 consultes a restaurants"
0568,Noemí Barrena,50,F,Altres,"Cafeteria, Mediterrània, Premsa i llibres",Només consulta horaris i ubicacions,"5 consultes a llibres, 1 consulta a botigues, 1 consulta a cafeteries"
0569,Aura Lerma,30,F,Família,Moda,Accepta ofertes de menjar,"1 consulta a llibres, 5 consultes a cafeteries, 1 consulta a restaurants"
0570,Narcisa Sosa,59,F,Negocis,"Moda, Mediterrània, Cuina italiana",Només consulta horaris i ubicacions,"1 consulta a vehicles, 2 consultes a botigues"
0571,Maxi Cabello,48,M,Família,Productes naturals,Ignora promocions,4 consultes a botigues
0572,Consuelo Cueto,66,F,Altres,"Cafeteria, Mediterrània, Moda",Ignora promocions,4 consultes a cafeteries
0573,Marino Luna,23,M,Altres,"Cuina italiana, Premsa i llibres, Perfumeria",Només consulta horaris i ubicacions,"1 consulta a llibres, 1 consulta a restaurants"
0574,Bonifacio Redondo,31,M,Altres,"Perfumeria, Mediterrània",Respon a ofertes de llibres,"5 consultes a cafeteries, 2 consultes a vehicles"
0575,Ignacio Samper,40,M,Turisme,"Premsa i llibres, Moda",Accepta ofertes de menjar,"1 consulta a cafeteries, 3 consultes a vehicles"
0576,Sancho Aragonés,75,M,Turisme,"Cafeteria, Productes naturals",Accepta ofertes de menjar,5 consultes a vehicles
0577,Chuy Rius,22,M,Negocis,Productes naturals,Respon a ofertes de llibres,4 consultes a vehicles
0578,Paco Llorente,24,M,Negocis,"Cuina italiana, Cafeteria",Respon a ofertes de llibres,"5 consultes a cafeteries, 3 consultes a vehicles, 5 consultes a botigues"
0579,Héctor Sabater,42,M,Turisme,Cuina italiana,Respon a ofertes de llibres,2 consultes a botigues
0580,Nicodemo Calvet,45,M,Família,"Cuina italiana, Premsa i llibres",Només consulta horaris i ubicacions,4 consultes a vehicles
0581,Marcos Guardia,57,M,Negocis,"Cuina ràpida, Moda, Premsa i llibres",Accepta ofertes de menjar,"4 consultes a llibres, 4 consultes a restaurants, 4 consultes a vehicles"
0582,Irene Lucas,27,F,Turisme,"Cuina italiana, Productes naturals",Segueix suggeriments personalitzats,"2 consultes a restaurants, 2 consultes a llibres"
0583,Aurora Collado,27,F,Turisme,Moda,Respon a ofertes de llibres,"4 consultes a llibres, 4 consultes a cafeteries, 1 consulta a restaurants"
0584,Mario Cabeza,44,M,Negocis,"Productes naturals, Moda",Només consulta horaris i ubicacions,"5 consultes a vehicles, 2 consultes a botigues"
0585,Evangelina Pintor,67,F,Negocis,"Moda, Mediterrània",Segueix suggeriments personalitzats,"2 consultes a restaurants, 2 consultes a cafeteries, 2 consultes a vehicles"
0586,María Luisa Calderón,20,F,Família,Cafeteria,Respon a ofertes de llibres,"3 consultes a llibres, 5 consultes a restaurants"
0587,Flora Belmonte,19,F,Negocis,"Mediterrània, Perfumeria",Respon a ofertes de llibres,"5 consultes a restaurants, 5 consultes a cafeteries"
0588,Elías Prado,18,M,Altres,"Perfumeria, Productes naturals",Ignora promocions,"3 consultes a cafeteries, 5 consultes a vehicles, 4 consultes a restaurants"
0589,Armando Castells,47,M,Negocis,"Perfumeria, Moda",Accepta ofertes de menjar,"1 consulta a cafeteries, 5 consultes a vehicles, 5 consultes a llibres"
0590,Nacio Segura,42,M,Negocis,"Cafeteria, Mediterrània, Moda",Accepta ofertes de menjar,2 consultes a llibres
0591,Palmira Morán,25,F,Família,"Premsa i llibres, Cafeteria, Productes naturals",Respon a ofertes de llibres,2 consultes a restaurants
0592,Enrique Juliá,46,M,Turisme,Cuina italiana,Segueix suggeriments personalitzats,"1 consulta a restaurants, 3 consultes a botigues"
0593,Sol Ayuso,48,F,Negocis,"Mediterrània, Cuina italiana",Segueix suggeriments personalitzats,2 consultes a restaurants
0594,Leopoldo Leon,25,M,Altres,"Perfumeria, Cafeteria, Cuina italiana",Respon a ofertes de llibres,3 consultes a botigues
0595,Hector Velázquez,54,M,Altres,"Mediterrània, Productes naturals",Accepta ofertes de menjar,"4 consultes a cafeteries, 4 consultes a vehicles, 5 consultes a llibres"
0596,Verónica Uribe,61,F,Turisme,"Perfumeria, Mediterrània",Ignora promocions,"3 consultes a vehicles, 5 consultes a restaurants"
0597,Ignacia Domínguez,60,F,Turisme,"Cuina italiana, Perfumeria",Ignora promocions,5 consultes a botigues
0598,Edgardo Porcel,32,M,Altres,Cuina italiana,Només consulta horaris i ubicacions,"3 consultes a llibres, 5 consultes a restaurants, 4 consultes a cafeteries"
0599,Heraclio Almagro,70,M,Família,Productes naturals,Accepta ofertes de menjar,"5 consultes a llibres, 2 consultes a vehicles, 2 consultes a cafeteries"
0600,Custodia Zapata,28,F,Altres,"Cuina italiana, Productes naturals, Cafeteria",Accepta ofertes de menjar,"1 consulta a restaurants, 1 consulta a botigues"
0601,Dalila Román,24,F,Família,"Premsa i llibres, Perfumeria, Cuina ràpida",Accepta ofertes de menjar,"4 consultes a botigues, 2 consultes a restaurants"
0602,Eligio Revilla,53,M,Turisme,Moda,Respon a ofertes de llibres,"4 consultes a botigues, 3 consultes a llibres, 2 consultes a restaurants"
0603,Alexandra Prada,55,F,Turisme,Productes naturals,Segueix suggeriments personalitzats,"4 consultes a cafeteries, 1 consulta a vehicles, 1 consulta a botigues"
0604,Leyre Olivera,55,F,Família,Cuina ràpida,Només consulta horaris i ubicacions,"5 consultes a cafeteries, 5 consultes a llibres"
0605,Herberto Menéndez,22,M,Negocis,Cuina ràpida,Ignora promocions,"3 consultes a botigues, 2 consultes a cafeteries"
0606,Quirino Ramos,50,M,Negocis,Mediterrània,Respon a ofertes de llibres,4 consultes a cafeteries
0607,Miguela Clavero,29,F,Turisme,"Premsa i llibres, Cuina ràpida",Només consulta horaris i ubicacions,4 consultes a vehicles
0608,Pepe Galán,30,M,Altres,Cuina italiana,Segueix suggeriments personalitzats,"2 consultes a botigues, 1 consulta a llibres"
0609,Noa Campo,54,F,Negocis,"Productes naturals, Mediterrània",Segueix suggeriments personalitzats,4 consultes a vehicles
0610,Concha Puig,40,F,Família,"Cuina ràpida, Moda, Cuina italiana",Ignora promocions,3 consultes a vehicles
0611,Gabriela Iglesias,55,F,Turisme,Cuina ràpida,Segueix suggeriments personalitzats,4 consultes a restaurants
0612,Otilia Cerro,58,F,Negocis,Moda,Només consulta horaris i ubicacions,"2 consultes a botigues, 4 consultes a restaurants"
0613,Patricia Vilar,32,F,Altres,"Premsa i llibres, Mediterrània",Respon a ofertes de llibres,"5 consultes a cafeteries, 1 consulta a restaurants"
0614,Viviana Torrijos,53,F,Família,"Mediterrània, Cuina italiana",Segueix suggeriments personalitzats,3 consultes a restaurants
0615,Nicodemo Arenas,62,M,Altres,Mediterrània,Segueix suggeriments personalitzats,3 consultes a restaurants
0616,Carmelita Villalobos,65,F,Turisme,"Moda, Cuina italiana",Només consulta horaris i ubicacions,"3 consultes a cafeteries, 4 consultes a restaurants, 2 consultes a llibres"
0617,Ámbar Romeu,49,F,Altres,"Premsa i llibres, Cuina ràpida",Accepta ofertes de menjar,"2 consultes a llibres, 5 consultes a botigues, 4 consultes a vehicles"
0618,Narcisa Busquets,40,F,Negocis,Mediterrània,Ignora promocions,"5 consultes a llibres, 4 consultes a vehicles, 4 consultes a botigues"
0619,Fulgencio Sotelo,31,M,Turisme,"Perfumeria, Cuina ràpida, Cafeteria",Respon a ofertes de llibres,"1 consulta a botigues, 4 consultes a vehicles, 4 consultes a cafeteries"
0620,Angelita Palmer,28,F,Família,"Premsa i llibres, Cuina italiana",Ignora promocions,"3 consultes a vehicles, 2 consultes a cafeteries"
0621,Mónica Burgos,47,F,Família,"Perfumeria, Mediterrània, Productes naturals",Només consulta horaris i ubicacions,"4 consultes a llibres, 2 consultes a botigues, 3 consultes a restaurants"
0622,Angelita Casanova,34,F,Altres,"Moda, Cafeteria, Perfumeria",Només consulta horaris i ubicacions,"1 consulta a llibres, 2 consultes a cafeteries"
0623,Aránzazu Urrutia,31,F,Negocis,"Premsa i llibres, Moda, Cuina ràpida",Accepta ofertes de menjar,"2 consultes a restaurants, 2 consultes a cafeteries"
0624,Lilia Prats,67,F,Família,"Cafeteria, Cuina italiana, Premsa i llibres",Accepta ofertes de menjar,"3 consultes a cafeteries, 5 consultes a vehicles, 1 consulta a restaurants"
0625,Marciano Menéndez,70,M,Altres,"Cuina ràpida, Cafeteria",Només consulta horaris i ubicacions,"5 consultes a vehicles, 3 consultes a cafeteries, 1 consulta a botigues"
0626,Danilo Recio,23,M,Família,"Moda, Perfumeria, Cafeteria",Ignora promocions,"5 consultes a restaurants, 3 consultes a cafeteries"
0627,Lorenzo Vicens,65,M,Altres,"Cuina italiana, Mediterrània, Cuina ràpida",Accepta ofertes de menjar,5 consultes a llibres
0628,Sarita Riba,39,F,Negocis,Mediterrània,Ignora promocions,"2 consultes a restaurants, 4 consultes a vehicles, 3 consultes a llibres"
0629,Roberta Vives,50,F,Negocis,Premsa i llibres,Ignora promocions,"4 consultes a botigues, 2 consultes a restaurants"
0630,Lope Olivé,48,M,Negocis,Moda,Segueix suggeriments personalitzats,"3 consultes a restaurants, 4 consultes a cafeteries"
0631,Anabel Sanchez,35,F,Família,Moda,Ignora promocions,"1 consulta a llibres, 1 consulta a botigues"
0632,Isa Izquierdo,23,F,Negocis,Cuina ràpida,Accepta ofertes de menjar,"1 consulta a restaurants, 1 consulta a vehicles, 5 consultes a llibres"
0633,Augusto Gallo,58,M,Família,"Moda, Productes naturals, Mediterrània",Segueix suggeriments personalitzats,"2 consultes a botigues, 5 consultes a vehicles, 3 consultes a cafeteries"
0634,Fabiola Taboada,43,F,Negocis,Cuina italiana,Només consulta horaris i ubicacions,"2 consultes a llibres, 3 consultes a cafeteries, 3 consultes a botigues"
0635,Lucila Blanco,65,F,Família,Premsa i llibres,Accepta ofertes de menjar,"2 consultes a llibres, 5 consultes a restaurants"
0636,Tomasa Guzmán,58,F,Família,"Moda, Cuina ràpida",Segueix suggeriments personalitzats,1 consulta a cafeteries
0637,Noelia Perelló,44,F,Turisme,"Cuina italiana, Perfumeria",Segueix suggeriments personalitzats,"5 consultes a vehicles, 4 consultes a llibres, 3 consultes a restaurants"
0638,Adalberto Acosta,33,M,Negocis,"Perfumeria, Mediterrània",Ignora promocions,"1 consulta a vehicles, 5 consultes a llibres"
0639,Olimpia Zamorano,26,F,Turisme,Premsa i llibres,Ignora promocions,4 consultes a vehicles
0640,Lorena Ariño,22,F,Altres,"Cuina ràpida, Moda, Productes naturals",Respon a ofertes de llibres,4 consultes a cafeteries
0641,Eulalia Arteaga,72,F,Família,"Productes naturals, Mediterrània",Accepta ofertes de menjar,"4 consultes a botigues, 5 consultes a restaurants, 4 consultes a llibres"
0642,Isidora Benet,24,F,Família,Cuina ràpida,Només consulta horaris i ubicacions,"3 consultes a cafeteries, 5 consultes a botigues, 5 consultes a restaurants"
0643,Leandra Beltran,68,F,Altres,Productes naturals,Accepta ofertes de menjar,"5 consultes a llibres, 5 consultes a vehicles, 1 consulta a botigues"
0644,Carla Ríos,53,F,Família,"Cafeteria, Cuina italiana",Ignora promocions,"5 consultes a vehicles, 3 consultes a llibres, 5 consultes a botigues"
0645,Samuel Barba,28,M,Negocis,"Cafeteria, Productes naturals, Premsa i llibres",Ignora promocions,"3 consultes a restaurants, 3 consultes a cafeteries, 5 consultes a botigues"
0646,Toño Camacho,54,M,Família,"Perfumeria, Moda, Premsa i llibres",Respon a ofertes de llibres,2 consultes a restaurants
0647,Natividad Rebollo,46,F,Turisme,"Perfumeria, Premsa i llibres",Segueix suggeriments personalitzats,"2 consultes a vehicles, 5 consultes a cafeteries"
0648,Nydia Pinilla,40,F,Altres,"Premsa i llibres, Cafeteria, Moda",Respon a ofertes de llibres,3 consultes a restaurants
0649,Julia Tello,24,F,Turisme,"Moda, Premsa i llibres, Perfumeria",Només consulta horaris i ubicacions,1 consulta a botigues
0650,Espiridión Estrada,19,M,Família,Cafeteria,Ignora promocions,"1 consulta a restaurants, 2 consultes a botigues, 3 consultes a llibres"
0651,Haroldo Espinosa,73,M,Família,"Cafeteria, Cuina italiana",Només consulta horaris i ubicacions,5 consultes a vehicles
0652,Arsenio Madrigal,57,M,Altres,Cuina italiana,Només consulta horaris i ubicacions,"4 consultes a llibres, 4 consultes a cafeteries, 4 consultes a restaurants"
0653,Severiano Vargas,46,M,Altres,Productes naturals,Respon a ofertes de llibres,"2 consultes a llibres, 2 consultes a cafeteries"
0654,Elías Gomis,50,M,Altres,"Cuina ràpida, Mediterrània",Ignora promocions,"1 consulta a vehicles, 1 consulta a cafeteries"
0655,Saturnino Cornejo,54,M,Família,"Premsa i llibres, Moda",Només consulta horaris i ubicacions,"1 consulta a cafeteries, 5 consultes a llibres"
0656,Cándido Montes,39,M,Negocis,Cafeteria,Respon a ofertes de llibres,"1 consulta a vehicles, 2 consultes a botigues, 2 consultes a llibres"
0657,Aurora Cuevas,30,F,Turisme,"Productes naturals, Moda",Només consulta horaris i ubicacions,"4 consultes a vehicles, 1 consulta a cafeteries"
0658,Lupe Gutiérrez,68,F,Turisme,Perfumeria,Segueix suggeriments personalitzats,"5 consultes a llibres, 5 consultes a cafeteries"
0659,Pili Chacón,73,F,Família,"Cuina ràpida, Cafeteria",Accepta ofertes de menjar,"1 consulta a llibres, 3 consultes a vehicles, 5 consultes a restaurants"
0660,Gracia Silva,22,F,Turisme,"Productes naturals, Mediterrània",Accepta ofertes de menjar,"5 consultes a cafeteries, 3 consultes a restaurants, 2 consultes a vehicles"
0661,Quique Hernando,44,M,Família,"Perfumeria, Cuina ràpida",Accepta ofertes de menjar,4 consultes a botigues
0662,Jaime Ochoa,39,M,Turisme,"Cafeteria, Productes naturals",Accepta ofertes de menjar,"4 consultes a vehicles, 3 consultes a restaurants"
0663,Soraya Saez,66,F,Altres,"Cuina italiana, Perfumeria",Segueix suggeriments personalitzats,"2 consultes a llibres, 3 consultes a vehicles"
0664,Fidela Salamanca,30,F,Família,"Cuina ràpida, Premsa i llibres, Cuina italiana",Accepta ofertes de menjar,"2 consultes a restaurants, 5 consultes a vehicles"
0665,Gisela Ugarte,38,F,Família,Cuina italiana,Ignora promocions,2 consultes a vehicles
0666,Andrés Castrillo,57,M,Família,Productes naturals,Només consulta horaris i ubicacions,"3 consultes a llibres, 2 consultes a botigues"
0667,Magdalena Criado,49,F,Altres,"Mediterrània, Premsa i llibres",Només consulta horaris i ubicacions,"5 consultes a botigues, 4 consultes a cafeteries"
0668,Claudia Verdejo,61,F,Turisme,"Productes naturals, Moda, Cafeteria",Ignora promocions,"4 consultes a restaurants, 2 consultes a botigues"
0669,Eloísa Quero,68,F,Família,"Premsa i llibres, Moda",Accepta ofertes de menjar,3 consultes a llibres
0670,Lisandro Planas,55,M,Negocis,"Productes naturals, Cuina italiana, Cafeteria",Ignora promocions,"3 consultes a botigues, 4 consultes a vehicles"
0671,Esmeralda Jurado,62,F,Altres,"Mediterrània, Premsa i llibres",Accepta ofertes de menjar,"3 consultes a cafeteries, 1 consulta a restaurants, 2 consultes a llibres"
0672,Pelayo Cuesta,68,M,Turisme,Productes naturals,Accepta ofertes de menjar,"3 consultes a llibres, 1 consulta a botigues, 5 consultes a cafeteries"
0673,Maristela Quintanilla,18,F,Altres,"Mediterrània, Cuina ràpida",Segueix suggeriments personalitzats,3 consultes a restaurants
0674,Felicia Sáenz,62,F,Família,Cuina ràpida,Segueix suggeriments personalitzats,"4 consultes a cafeteries, 1 consulta a botigues"
0675,Alex Solé,56,M,Família,"Productes naturals, Cuina italiana, Perfumeria",Accepta ofertes de menjar,"5 consultes a botigues, 2 consultes a restaurants, 3 consultes a vehicles"
0676,Jerónimo Goicoechea,41,M,Altres,"Productes naturals, Premsa i llibres",Ignora promocions,3 consultes a botigues
0677,Glauco Bayo,35,M,Turisme,"Cuina ràpida, Perfumeria, Premsa i llibres",Només consulta horaris i ubicacions,"4 consultes a llibres, 1 consulta a vehicles"
0678,Mamen Miranda,25,F,Turisme,Premsa i llibres,Ignora promocions,"2 consultes a vehicles, 4 consultes a llibres"
0679,Héctor Salinas,37,M,Negocis,"Productes naturals, Cafeteria, Mediterrània",Accepta ofertes de menjar,3 consultes a vehicles
0680,Noelia Cano,34,F,Altres,"Cuina italiana, Perfumeria",Ignora promocions,"3 consultes a cafeteries, 5 consultes a restaurants"
0681,Iker Revilla,45,M,Negocis,"Moda, Cuina ràpida, Premsa i llibres",Només consulta horaris i ubicacions,"2 consultes a cafeteries, 2 consultes a restaurants, 2 consultes a botigues"
0682,Maricela Cabañas,26,F,Turisme,"Cuina italiana, Mediterrània, Moda",Accepta ofertes de menjar,"2 consultes a llibres, 1 consulta a botigues"
0683,Espiridión Sanabria,49,M,Família,"Mediterrània, Cafeteria",Respon a ofertes de llibres,"1 consulta a restaurants, 1 consulta a vehicles"
0684,Fabio Amor,22,M,Família,Productes naturals,Segueix suggeriments personalitzats,"5 consultes a cafeteries, 1 consulta a restaurants"
0685,Florencio Carrillo,57,M,Turisme,Perfumeria,Segueix suggeriments personalitzats,3 consultes a llibres
0686,Dionisio Bellido,40,M,Turisme,Mediterrània,Ignora promocions,"4 consultes a llibres, 4 consultes a vehicles"
0687,José Ángel Carbó,54,M,Negocis,"Mediterrània, Premsa i llibres",Només consulta horaris i ubicacions,"2 consultes a vehicles, 2 consultes a botigues, 4 consultes a llibres"
0688,Fulgencio Vidal,27,M,Negocis,"Cuina ràpida, Premsa i llibres",Només consulta horaris i ubicacions,"3 consultes a botigues, 5 consultes a llibres, 2 consultes a cafeteries"
0689,Julio César Villanueva,55,M,Família,"Cuina ràpida, Cuina italiana, Productes naturals",Segueix suggeriments personalitzats,5 consultes a botigues
0690,Soraya Villena,34,F,Altres,Cuina italiana,Ignora promocions,5 consultes a vehicles
0691,Dalila Rodriguez,63,F,Altres,"Cafeteria, Mediterrània, Productes naturals",Accepta ofertes de menjar,1 consulta a restaurants
0692,Jose Carlos Aragón,65,M,Negocis,Premsa i llibres,Segueix suggeriments personalitzats,"4 consultes a restaurants, 4 consultes a vehicles"
0693,Rufina Olivera,49,F,Negocis,"Productes naturals, Mediterrània, Cuina ràpida",Segueix suggeriments personalitzats,5 consultes a restaurants
0694,Begoña Pardo,65,F,Negocis,"Cuina ràpida, Cuina italiana",Segueix suggeriments personalitzats,"1 consulta a restaurants, 3 consultes a botigues"
0695,Albino Mora,43,M,Família,"Mediterrània, Cuina italiana, Cuina ràpida",Segueix suggeriments personalitzats,"5 consultes a restaurants, 5 consultes a llibres, 4 consultes a cafeteries"
0696,Simón Chaves,75,M,Família,"Moda, Mediterrània",Segueix suggeriments personalitzats,"1 consulta a botigues, 1 consulta a llibres, 5 consultes a vehicles"
0697,Cipriano Reig,63,M,Altres,Cafeteria,Ignora promocions,"1 consulta a restaurants, 5 consultes a vehicles, 4 consultes a cafeteries"
0698,Fulgencio Olmedo,32,M,Altres,"Mediterrània, Cuina ràpida",Segueix suggeriments personalitzats,4 consultes a botigues
0699,Raquel Nicolás,51,F,Turisme,"Mediterrània, Moda, Cuina italiana",Ignora promocions,"5 consultes a vehicles, 3 consultes a llibres"
0700,Caridad Alberto,24,F,Turisme,"Cuina italiana, Perfumeria",Accepta ofertes de menjar,1 consulta a llibres
0701,Bartolomé Hoz,22,M,Família,Cuina italiana,Segueix suggeriments personalitzats,3 consultes a botigues
0702,Sabina Rincón,60,F,Negocis,Premsa i llibres,Ignora promocions,"1 consulta a botigues, 5 consultes a llibres"
0703,Rosenda Benito,36,F,Família,"Productes naturals, Mediterrània, Perfumeria",Respon a ofertes de llibres,4 consultes a botigues
0704,Petrona Abascal,70,F,Altres,"Cuina italiana, Mediterrània, Moda",Només consulta horaris i ubicacions,"2 consultes a botigues, 1 consulta a restaurants, 2 consultes a vehicles"
0705,Guillermo Cámara,28,M,Família,"Cuina italiana, Cafeteria",Segueix suggeriments personalitzats,"2 consultes a botigues, 4 consultes a llibres, 5 consultes a vehicles"
0706,América Giralt,42,F,Altres,Mediterrània,Només consulta horaris i ubicacions,4 consultes a botigues
0707,Evangelina Piña,30,F,Turisme,"Productes naturals, Premsa i llibres",Accepta ofertes de menjar,"4 consultes a restaurants, 1 consulta a vehicles, 5 consultes a botigues"
0708,Jacobo Lloret,26,M,Negocis,Perfumeria,Només consulta horaris i ubicacions,2 consultes a vehicles
0709,Paco Roma,65,M,Negocis,"Cuina italiana, Perfumeria, Premsa i llibres",Només consulta horaris i ubicacions,"5 consultes a vehicles, 1 consulta a cafeteries"
0710,Lola Bayo,58,F,Turisme,"Cuina ràpida, Mediterrània",Només consulta horaris i ubicacions,5 consultes a cafeteries
0711,Adriana Cobo,18,F,Família,"Perfumeria, Cafeteria, Cuina ràpida",Només consulta horaris i ubicacions,"3 consultes a restaurants, 1 consulta a cafeteries, 2 consultes a vehicles"
0712,Serafina Lucas,60,F,Negocis,Cafeteria,Segueix suggeriments personalitzats,"1 consulta a llibres, 2 consultes a restaurants"
0713,Sarita Borrell,75,F,Família,"Cuina ràpida, Moda, Productes naturals",Ignora promocions,1 consulta a cafeteries
0714,Lorena Ferrando,46,F,Negocis,Perfumeria,Ignora promocions,1 consulta a restaurants
0715,Griselda Reguera,24,F,Família,"Cafeteria, Cuina ràpida, Moda",Respon a ofertes de llibres,"5 consultes a restaurants, 4 consultes a vehicles"
0716,Santiago Baena,36,M,Negocis,Cafeteria,Accepta ofertes de menjar,"2 consultes a llibres, 5 consultes a cafeteries"
0717,Adrián Gálvez,61,M,Negocis,"Moda, Mediterrània",Accepta ofertes de menjar,"4 consultes a vehicles, 3 consultes a botigues"
0718,Arturo Castilla,56,M,Família,"Perfumeria, Premsa i llibres, Cuina italiana",Segueix suggeriments personalitzats,"4 consultes a vehicles, 3 consultes a cafeteries"
0719,Gloria Hierro,29,F,Negocis,Cuina italiana,Segueix suggeriments personalitzats,"3 consultes a vehicles, 2 consultes a botigues, 3 consultes a llibres"
0720,Carlos Estévez,51,M,Negocis,"Cuina italiana, Cuina ràpida",Respon a ofertes de llibres,1 consulta a restaurants
0721,Valentín Fernandez,33,M,Família,"Productes naturals, Cuina ràpida, Premsa i llibres",Accepta ofertes de menjar,1 consulta a vehicles
0722,Marco Tejera,44,M,Turisme,"Cuina italiana, Moda, Cafeteria",Accepta ofertes de menjar,"1 consulta a vehicles, 1 consulta a llibres, 3 consultes a restaurants"
0723,Ariel Casas,55,M,Família,"Mediterrània, Moda, Cuina ràpida",Ignora promocions,"3 consultes a botigues, 1 consulta a llibres"
0724,Juan Antonio Gaya,35,M,Negocis,Cafeteria,Respon a ofertes de llibres,"3 consultes a botigues, 2 consultes a llibres, 3 consultes a restaurants"
0725,Estrella Guillen,25,F,Turisme,"Cuina italiana, Moda, Perfumeria",Ignora promocions,"1 consulta a restaurants, 5 consultes a botigues"
0726,Abraham Ponce,74,M,Família,"Cuina ràpida, Moda",Ignora promocions,"5 consultes a restaurants, 5 consultes a vehicles, 2 consultes a llibres"
0727,Fidel Acero,32,M,Altres,Cuina italiana,Respon a ofertes de llibres,"1 consulta a restaurants, 2 consultes a vehicles, 5 consultes a cafeteries"
0728,Francisco Mosquera,45,M,Negocis,"Premsa i llibres, Perfumeria, Moda",Respon a ofertes de llibres,"2 consultes a restaurants, 1 consulta a cafeteries, 3 consultes a vehicles"
0729,Ani Alsina,43,F,Negocis,"Mediterrània, Moda",Ignora promocions,"2 consultes a llibres, 5 consultes a vehicles"
0730,Jose Carlos Tejedor,23,M,Negocis,Premsa i llibres,Accepta ofertes de menjar,"1 consulta a botigues, 4 consultes a llibres, 1 consulta a vehicles"
0731,Roldán Ponce,36,M,Turisme,"Mediterrània, Cafeteria, Perfumeria",Segueix suggeriments personalitzats,"1 consulta a llibres, 1 consulta a restaurants"
0732,Anselmo Vega,41,M,Altres,Mediterrània,Segueix suggeriments personalitzats,1 consulta a vehicles
0733,Remedios Aguado,31,F,Turisme,"Premsa i llibres, Mediterrània, Cuina ràpida",Segueix suggeriments personalitzats,1 consulta a vehicles
0734,Jeremías Ledesma,72,M,Família,Cuina ràpida,Segueix suggeriments personalitzats,5 consultes a vehicles
